DatesR,P,E,Qmm
1971-06-07,0,2.733333333,0.800829268
1971-06-08,0,2.733333333,0.800829268
1971-06-09,0,2.733333333,0.800829268
1971-06-10,0,2.733333333,0.800829268
1971-06-11,6.1,2.733333333,0.971401501
1971-06-12,0,2.733333333,1.168225141
1971-06-13,0,2.733333333,0.937435272
1971-06-14,0,2.733333333,0.802525328
1971-06-15,0,2.733333333,0.800829268
1971-06-16,0,2.733333333,0.800829268
1971-06-17,0.5,2.733333333,0.800829268
1971-06-18,0,2.733333333,0.800829268
1971-06-19,0,2.733333333,0.800829268
1971-06-20,0,2.733333333,0.800829268
1971-06-21,0,2.733333333,0.727090056
1971-06-22,0,2.733333333,0.615818011
1971-06-23,0,2.733333333,0.614506567
1971-06-24,0,2.733333333,0.614506567
1971-06-25,0,2.733333333,0.614506567
1971-06-26,0,2.733333333,0.614506567
1971-06-27,0,2.733333333,0.614506567
1971-06-28,0,2.733333333,0.614506567
1971-06-29,0,2.733333333,0.614506567
1971-06-30,0,2.733333333,0.614506567
1971-07-01,0,2.870967742,0.614506567
1971-07-02,0,2.870967742,0.614506567
1971-07-03,0,2.870967742,0.614506567
1971-07-04,0,2.870967742,0.614506567
1971-07-05,0,2.870967742,0.683378987
1971-07-06,0,2.870967742,0.799330206
1971-07-07,0,2.870967742,0.800829268
1971-07-08,0,2.870967742,0.800829268
1971-07-09,0,2.870967742,0.800829268
1971-07-10,0,2.870967742,0.800829268
1971-07-11,0,2.870967742,0.727090056
1971-07-12,0,2.870967742,0.684690432
1971-07-13,0,2.870967742,0.799330206
1971-07-14,0,2.870967742,0.800829268
1971-07-15,0,2.870967742,0.800829268
1971-07-16,20.3,2.870967742,0.727090056
1971-07-17,24.1,2.870967742,2.633433396
1971-07-18,0,2.870967742,1.812585366
1971-07-19,0,2.870967742,0.810587242
1971-07-20,0,2.870967742,0.800829268
1971-07-21,0,2.870967742,0.800829268
1971-07-22,0,2.870967742,0.724093809
1971-07-23,0,2.870967742,0.634590994
1971-07-24,6.9,2.870967742,0.884523452
1971-07-25,0,2.870967742,0.695575985
1971-07-26,0,2.870967742,0.614506567
1971-07-27,0,2.870967742,0.614506567
1971-07-28,0,2.870967742,0.604945591
1971-07-29,0,2.870967742,0.50304878
1971-07-30,1,2.870967742,0.57304878
1971-07-31,0,2.870967742,0.494801126
1971-08-01,0,3.580645161,0.461962477
1971-08-02,0,3.580645161,0.461962477
1971-08-03,0,3.580645161,0.47172045
1971-08-04,0,3.580645161,0.583921201
1971-08-05,0,3.580645161,0.614506567
1971-08-06,0,3.580645161,0.614506567
1971-08-07,0,3.580645161,0.614506567
1971-08-08,2.3,3.580645161,0.614506567
1971-08-09,0.8,3.580645161,0.614506567
1971-08-10,0.8,3.580645161,0.639283302
1971-08-11,4.6,3.580645161,0.943998124
1971-08-12,0,3.580645161,0.702324578
1971-08-13,0,3.580645161,0.606258912
1971-08-14,0,3.580645161,0.521821764
1971-08-15,22.9,3.580645161,1.635636023
1971-08-16,0,3.580645161,0.983969981
1971-08-17,0,3.580645161,0.654105066
1971-08-18,0,3.580645161,0.614506567
1971-08-19,0,3.580645161,0.614506567
1971-08-20,0,3.580645161,0.614506567
1971-08-21,1.8,3.580645161,0.625390244
1971-08-22,15.7,3.580645161,0.836863039
1971-08-23,0.5,3.580645161,1.335354597
1971-08-24,0,3.580645161,0.891272045
1971-08-25,0,3.580645161,0.800829268
1971-08-26,0,3.580645161,0.788829268
1971-08-27,0,3.580645161,0.651097561
1971-08-28,0,3.580645161,0.614506567
1971-08-29,6.6,3.580645161,0.614506567
1971-08-30,0,3.580645161,0.604377111
1971-08-31,0,3.580645161,0.494986867
1971-09-01,0,4.533333333,0.461962477
1971-09-02,0,4.533333333,0.461962477
1971-09-03,0,4.533333333,0.470592871
1971-09-04,6.1,4.533333333,0.714893058
1971-09-05,11.2,4.533333333,1.305636023
1971-09-06,2.3,4.533333333,0.851114447
1971-09-07,0,4.533333333,0.652594747
1971-09-08,0,4.533333333,0.60419137
1971-09-09,0,4.533333333,0.494615385
1971-09-10,0,4.533333333,0.461962477
1971-09-11,0,4.533333333,0.461962477
1971-09-12,0,4.533333333,0.461962477
1971-09-13,2.8,4.533333333,0.471348968
1971-09-14,1.3,4.533333333,0.580168856
1971-09-15,8.9,4.533333333,0.614506567
1971-09-16,0.8,4.533333333,0.6259606
1971-09-17,11.7,4.533333333,3.230787992
1971-09-18,0,4.533333333,2.079437148
1971-09-19,0,4.533333333,0.83704878
1971-09-20,0,4.533333333,0.790514071
1971-09-21,0,4.533333333,0.645474672
1971-09-22,0,4.533333333,0.494046904
1971-09-23,0,4.533333333,0.414116323
1971-09-24,0,4.533333333,0.461962477
1971-09-25,0,4.533333333,0.461962477
1971-09-26,0,4.533333333,0.461962477
1971-09-27,0,4.533333333,0.454273921
1971-09-28,0,4.533333333,0.351818011
1971-09-29,0,4.533333333,0.305853659
1971-09-30,0,4.533333333,0.434373358
1971-10-01,0,5.387096774,0.461962477
1971-10-02,0,5.387096774,0.461962477
1971-10-03,0,5.387096774,0.454273921
1971-10-04,0,5.387096774,0.369649156
1971-10-05,0,5.387096774,0.434572233
1971-10-06,0,5.387096774,0.471534709
1971-10-07,0,5.387096774,0.583549719
1971-10-08,0,5.387096774,0.614506567
1971-10-09,0,5.387096774,0.614506567
1971-10-10,0,5.387096774,0.614506567
1971-10-11,1.3,5.387096774,0.624262664
1971-10-12,3.3,5.387096774,0.734592871
1971-10-13,11.2,5.387096774,0.547898687
1971-10-14,2.5,5.387096774,0.750542214
1971-10-15,0,5.387096774,0.642465291
1971-10-16,0,5.387096774,0.490666041
1971-10-17,0,5.387096774,0.377896811
1971-10-18,18,5.387096774,0.53758349
1971-10-19,1.5,5.387096774,0.415984991
1971-10-20,0,5.387096774,0.336624765
1971-10-21,0,5.387096774,0.335497186
1971-10-22,0,5.387096774,0.335497186
1971-10-23,0,5.387096774,0.335497186
1971-10-24,0,5.387096774,0.335497186
1971-10-25,0,5.387096774,0.295155722
1971-10-26,0,5.387096774,0.271318949
1971-10-27,0,5.387096774,0.294399625
1971-10-28,0,5.387096774,0.23097561
1971-10-29,0,5.387096774,0.230232645
1971-10-30,0,5.387096774,0.230232645
1971-10-31,0,5.387096774,0.230232645
1971-11-01,0,6,0.230232645
1971-11-02,0,6,0.230232645
1971-11-03,3.3,6,0.230232645
1971-11-04,2,6,0.270575985
1971-11-05,0,6,0.334742964
1971-11-06,0,6,0.335497186
1971-11-07,0,6,0.295155722
1971-11-08,0,6,0.23097561
1971-11-09,0,6,0.230232645
1971-11-10,0,6,0.199275797
1971-11-11,0,6,0.149732083
1971-11-12,0,6,0.149174859
1971-11-13,0,6,0.149174859
1971-11-14,2.5,6,0.149174859
1971-11-15,0,6,0.149174859
1971-11-16,0,6,0.149174859
1971-11-17,0,6,0.149174859
1971-11-18,0,6,0.149174859
1971-11-19,2,6,0.149174859
1971-11-20,0,6,0.149174859
1971-11-21,0,6,0.149174859
1971-11-22,0,6,0.149174859
1971-11-23,0,6,0.149174859
1971-11-24,0,6,0.180131707
1971-11-25,0,6,0.229662289
1971-11-26,6.9,6,0.230232645
1971-11-27,9.9,6,0.270575985
1971-11-28,2.8,6,0.334742964
1971-11-29,35.3,6,0.594061914
1971-11-30,9.4,6,0.407354597
1971-12-01,0,6.35483871,0.329677298
1971-12-02,0,6.35483871,0.251617261
1971-12-03,0,6.35483871,0.165866792
1971-12-04,0,6.35483871,0.149174859
1971-12-05,0,6.35483871,0.145224765
1971-12-06,0,6.35483871,0.099822139
1971-12-07,0,6.35483871,0.085937523
1971-12-08,0,6.35483871,0.085937523
1971-12-09,0,6.35483871,0.083122889
1971-12-10,0,6.35483871,0.052725704
1971-12-11,0,6.35483871,0.046534334
1971-12-12,0,6.35483871,0.077118386
1971-12-13,0,6.35483871,0.083686304
1971-12-14,0,6.35483871,0.055540338
1971-12-15,22.1,6.35483871,0.096257223
1971-12-16,3,6.35483871,0.214097561
1971-12-17,0,6.35483871,0.094944653
1971-12-18,0,6.35483871,0.085937523
1971-12-19,31.5,6.35483871,0.085937523
1971-12-20,0,6.35483871,0.085937523
1971-12-21,0,6.35483871,0.085937523
1971-12-22,0,6.35483871,0.090252908
